GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; Households - One race-- - White,Total; Margin of Error; Households - One race-- - White,Median income (dollars); Estimate; Households - One race-- - White,Median income (dollars); Margin of Error; Households - One race-- - White,Total; Estimate; Households - One race-- - Black or African American,Total; Margin of Error; Households - One race-- - Black or African American,Median income (dollars); Estimate; Households - One race-- - Black or African American,Median income (dollars); Margin of Error; Households - One race-- - Black or African American,Total; Estimate; Households - One race-- - American Indian and Alaska Native,Total; Margin of Error; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; Households - One race-- - American Indian and Alaska Native,Total; Estimate; Households - One race-- - Asian,Total; Margin of Error; Households - One race-- - Asian,Median income (dollars); Estimate; Households - One race-- - Asian,Median income (dollars); Margin of Error; Households - One race-- - Asian,Total; Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; Households - One race-- - Some other race,Total; Margin of Error; Households - One race-- - Some other race,Median income (dollars); Estimate; Households - One race-- - Some other race,Median income (dollars); Margin of Error; Households - One race-- - Some other race,Total; Estimate; Households - Two or more races,Total; Margin of Error; Households - Two or more races,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Margin of Error; Households - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children under 18 years,Total; Margin of Error; FAMILIES - Families - With own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children under 18 years,Total; Estimate; FAMILIES - Families - With no own children under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children under 18 years,Total; Estimate; FAMILIES - Families - Married-couple families,Total; Margin of Error; FAMILIES - Families - Married-couple families,Median income (dollars); Estimate; FAMILIES - Families - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Families - Married-couple families,"Total; Estimate; FAMILIES - Families - Female householder, no husband present","Total; Margin of Error; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Families - Female householder, no husband present","Total; Estimate; FAMILIES - Families - Male householder, no wife present","Total; Margin of Error; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Families - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
0500000US01003,01003,"Baldwin County, Alabama",71307,3086,48461,3434,89.5,1.6,50710,4256,7.8,1.2,24552,9441,N,N,N,N,N,N,N,N,N,N,-,**,N,N,-,**,N,N,50968,14949,N,N,29361,7147,86.1,1.8,51594,4834,1.5,0.8,29704,18859,22.9,2.5,51786,11473,42.6,2.8,54976,6968,33.0,1.9,39143,4701,47040,3419,59607,5779,30.3,3.8,57473,14985,69.7,3.8,60760,5126,81.0,3.3,67640,4977,14.4,2.9,36015,3563,4.5,1.9,50540,9471,24267,2444,27240,3240,64.7,5.2,26149,3773,60.2,5.4,24538,4482,4.5,2.1,69087,27990,35.3,5.2,31456,14810,30.8,4.8,26494,8597,4.5,2.3,56317,13941,33.1,(X),(X),(X),33.7,(X),(X),(X),31.6,(X),(X),(X)
0500000US01015,01015,"Calhoun County, Alabama",46087,1647,41428,2300,76.4,1.8,47673,4201,21.8,1.8,19021,4888,N,N,51114,26613,N,N,-,**,N,N,-,**,N,N,-,**,N,N,33609,8370,N,N,24841,5380,74.4,1.8,48662,4288,6.0,1.3,14021,3249,30.7,2.0,40220,4848,37.9,1.7,53527,5733,25.4,1.7,32658,5982,31710,1794,51351,2456,39.3,3.8,41864,8286,60.7,3.8,53878,4395,69.5,4.1,62311,4070,24.3,3.3,15753,2941,6.2,2.1,47384,30097,14377,1582,20738,3139,60.2,5.6,16596,3240,50.3,5.8,15612,3457,9.9,3.4,25018,14281,39.8,5.6,31189,5384,32.2,5.8,31263,4759,7.5,3.5,19263,71380,31.5,(X),(X),(X),31.2,(X),(X),(X),30.6,(X),(X),(X)
0500000US01043,01043,"Cullman County, Alabama",30424,1303,38261,4000,97.2,1.0,38815,3828,N,N,18908,10474,N,N,-,**,N,N,-,**,N,N,-,**,N,N,-,**,N,N,-,**,N,N,N,N,94.6,1.7,39248,3814,2.5,1.3,17232,38215,30.9,2.8,41605,4823,38.0,2.9,43582,5446,28.6,2.4,26835,2867,20758,1601,46579,3854,N,N,44473,11625,N,N,46923,3289,N,N,51051,4359,N,N,31525,12915,N,N,29781,16035,9666,1320,20675,3154,56.9,7.5,19038,3376,53.2,7.5,18327,2739,3.7,2.6,43818,18396,43.1,7.5,22183,3909,33.8,7.3,20137,2482,9.3,5.0,26928,49864,26.0,(X),(X),(X),26.0,(X),(X),(X),26.1,(X),(X),(X)
0500000US01049,01049,"DeKalb County, Alabama",24720,1328,35023,7253,88.5,2.5,38499,6337,N,N,36250,35075,N,N,21453,2658,N,N,-,**,N,N,-,**,N,N,21608,13436,N,N,110610,70673,N,N,22555,6742,86.8,2.1,38216,6707,2.4,1.6,22080,22417,32.1,3.3,50002,9979,37.0,3.5,32111,12141,28.5,2.4,28831,4433,16895,1435,47165,7849,N,N,43627,16736,N,N,48271,8103,N,N,51251,2418,N,N,19954,10953,N,N,31708,9811,7825,1324,19501,5795,55.3,7.6,13012,2556,51.1,7.8,12259,2133,4.2,4.0,37857,26780,44.7,7.6,24257,3110,42.8,7.8,23864,3064,1.9,2.6,-,**,32.4,(X),(X),(X),30.8,(X),(X),(X),35.7,(X),(X),(X)
0500000US01051,01051,"Elmore County, Alabama",28352,1287,55530,5844,79.5,2.8,58078,6117,N,N,N,N,N,N,-,**,N,N,-,**,N,N,-,**,N,N,N,N,N,N,45434,12021,N,N,N,N,79.0,2.8,58060,6139,2.8,1.9,26148,25146,32.1,3.6,58414,8191,39.6,3.2,62059,8515,25.5,2.4,40800,13943,19949,1714,61890,5193,N,N,58806,6223,N,N,67001,8215,N,N,71717,10229,N,N,32404,20840,N,N,50997,19756,8403,1485,26350,3777,56.2,6.7,22313,2890,46.3,8.0,21250,2473,9.9,6.3,46178,17662,43.8,6.7,38033,6694,39.9,6.5,37831,8580,3.9,2.6,93459,184110,29.2,(X),(X),(X),30.4,(X),(X),(X),21.1,(X),(X),(X)
0500000US01055,01055,"Etowah County, Alabama",39714,1503,40529,2807,83.4,1.6,42090,4082,14.0,1.4,31309,11955,N,N,N,N,N,N,"250,000+",***,N,N,-,**,N,N,N,N,N,N,16342,4107,N,N,28343,4446,82.1,1.7,42797,4717,3.5,1.3,21802,2686,28.6,2.2,49146,7430,38.8,2.7,47256,8449,29.1,1.8,32024,6843,26853,1766,53002,3965,N,N,53258,6610,N,N,52799,4989,N,N,61581,2981,N,N,21881,1488,N,N,40332,15610,12861,1276,19322,2618,55.5,5.7,15665,2599,49.8,5.3,14800,1995,5.7,3.2,32601,17012,44.5,5.7,23432,4111,39.7,5.4,21902,2771,4.8,3.2,36960,19550,35.6,(X),(X),(X),38.5,(X),(X),(X),28.1,(X),(X),(X)
0500000US01069,01069,"Houston County, Alabama",38825,833,39543,2187,74.0,1.3,46293,2786,24.6,1.3,24241,1769,N,N,36591,31917,N,N,N,N,N,N,-,**,N,N,55292,18781,N,N,N,N,N,N,31591,17660,72.4,1.3,47076,2988,4.1,0.9,17189,7119,31.5,1.5,42909,3975,37.6,1.3,49229,2508,26.8,1.1,31822,2988,24949,893,51484,1797,39.5,2.2,44988,4642,60.5,2.2,54078,2912,68.3,2.3,68121,2548,25.0,2.1,23192,3064,6.7,1.9,37917,13495,13876,941,23234,2670,52.9,3.2,19724,1951,47.6,3.1,18545,1759,5.3,1.7,38361,8913,47.1,3.2,28953,4037,40.1,3.3,27162,5140,6.9,1.7,41144,11371,32.2,(X),(X),(X),33.1,(X),(X),(X),28.8,(X),(X),(X)
0500000US01073,01073,"Jefferson County, Alabama",261980,3474,44646,1783,55.0,0.9,59231,2484,41.2,0.9,31868,1515,N,N,51375,8625,N,N,53848,28473,N,N,-,**,N,N,29127,8064,N,N,36538,24219,3.0,0.3,29737,4141,53.4,0.9,60165,2005,3.4,0.5,26721,8402,34.9,0.9,48655,3458,38.0,0.8,50310,3097,23.7,0.6,36863,1977,164822,4706,58311,2279,41.2,1.6,52532,5380,58.8,1.6,60375,2036,64.5,2.1,78239,2723,27.9,1.7,25938,1961,7.6,1.2,37895,4884,97158,4672,28679,2135,57.5,1.8,26694,1517,50.8,2.0,25540,1767,6.7,1.2,42011,11254,42.5,1.8,31611,1995,35.7,1.9,29558,2944,6.8,1.4,58652,14826,35.6,(X),(X),(X),36.9,(X),(X),(X),32.2,(X),(X),(X)
0500000US01077,01077,"Lauderdale County, Alabama",38093,1293,40309,3318,89.5,2.0,41408,3657,N,N,30438,18469,N,N,-,**,N,N,-,**,N,N,-,**,N,N,-,**,N,N,20108,6690,N,N,N,N,88.2,2.1,41446,3648,6.5,2.0,22467,11353,26.9,2.2,45584,7512,37.5,2.5,48650,6444,29.1,2.1,31786,2665,24217,1489,53320,3980,N,N,44957,6370,N,N,57145,5905,N,N,62549,7765,N,N,23308,6999,N,N,31309,15141,13876,1245,21512,2741,61.6,5.3,19757,2949,52.0,5.9,18111,2615,9.6,3.9,33406,31277,38.4,5.3,27772,7221,34.3,5.6,27238,7963,4.1,2.3,29570,28594,36.1,(X),(X),(X),34.8,(X),(X),(X),38.2,(X),(X),(X)
