GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; Households - One race-- - White,Total; Margin of Error; Households - One race-- - White,Median income (dollars); Estimate; Households - One race-- - White,Median income (dollars); Margin of Error; Households - One race-- - White,Total; Estimate; Households - One race-- - Black or African American,Total; Margin of Error; Households - One race-- - Black or African American,Median income (dollars); Estimate; Households - One race-- - Black or African American,Median income (dollars); Margin of Error; Households - One race-- - Black or African American,Total; Estimate; Households - One race-- - American Indian and Alaska Native,Total; Margin of Error; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; Households - One race-- - American Indian and Alaska Native,Total; Estimate; Households - One race-- - Asian,Total; Margin of Error; Households - One race-- - Asian,Median income (dollars); Estimate; Households - One race-- - Asian,Median income (dollars); Margin of Error; Households - One race-- - Asian,Total; Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; Households - One race-- - Some other race,Total; Margin of Error; Households - One race-- - Some other race,Median income (dollars); Estimate; Households - One race-- - Some other race,Median income (dollars); Margin of Error; Households - One race-- - Some other race,Total; Estimate; Households - Two or more races,Total; Margin of Error; Households - Two or more races,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Margin of Error; Households - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children under 18 years,Total; Margin of Error; FAMILIES - Families - With own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children under 18 years,Total; Estimate; FAMILIES - Families - With no own children under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children under 18 years,Total; Estimate; FAMILIES - Families - Married-couple families,Total; Margin of Error; FAMILIES - Families - Married-couple families,Median income (dollars); Estimate; FAMILIES - Families - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Families - Married-couple families,"Total; Estimate; FAMILIES - Families - Female householder, no husband present","Total; Margin of Error; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Families - Female householder, no husband present","Total; Estimate; FAMILIES - Families - Male householder, no wife present","Total; Margin of Error; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Families - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
0500000US01003,01003,"Baldwin County, Alabama",70259,2730,44874,4150,88.0,2.4,50118,4295,N,N,16861,2893,N,N,N,N,N,N,N,N,N,N,-,**,N,N,70677,19576,N,N,31541,28246,N,N,42286,22867,86.4,2.4,50355,4466,3.7,1.9,17411,19074,26.4,2.5,46479,7696,39.6,2.4,54168,6827,30.3,1.7,42273,4615,46918,2725,59569,5488,N,N,52042,4312,N,N,62415,7043,N,N,67094,4741,N,N,20557,5126,N,N,55750,16026,23341,2709,26810,4182,59.5,4.9,24159,3645,52.6,5.2,23060,2631,6.9,2.8,47521,22418,40.5,4.9,29337,3373,36.0,5.0,27752,4627,4.6,2.2,44862,5297,29.2,(X),(X),(X),30.0,(X),(X),(X),27.4,(X),(X),(X)
0500000US01015,01015,"Calhoun County, Alabama",43851,1874,36205,3402,76.6,2.1,40163,3319,20.6,2.0,26695,5645,N,N,N,N,N,N,N,N,N,N,-,**,N,N,10938,7302,N,N,30504,27971,N,N,25915,4035,74.9,2.1,40626,3316,4.8,1.3,16471,10469,31.6,3.0,32602,5044,36.9,2.5,43866,3590,26.8,1.7,33993,5199,28572,2139,45486,5100,40.4,4.2,34394,8080,59.6,4.2,54291,5481,63.4,4.9,58557,5153,29.6,4.7,25857,7185,7.0,2.7,50000,36073,15279,1712,23678,2996,52.8,5.6,20615,4224,50.1,5.2,19378,5325,2.7,1.6,48648,32537,47.2,5.6,30608,6211,38.2,5.7,30508,6654,9.0,3.3,31344,16328,31.2,(X),(X),(X),32.0,(X),(X),(X),29.4,(X),(X),(X)
0500000US01043,01043,"Cullman County, Alabama",32225,1220,39936,3154,96.9,1.0,39915,3129,N,N,67955,54743,N,N,-,**,N,N,N,N,N,N,-,**,N,N,-,**,N,N,-,**,N,N,16313,12903,94.3,1.3,40658,2727,6.2,2.6,30403,15648,28.5,2.9,50130,15358,38.0,2.5,46183,4695,27.4,2.1,27295,6694,23822,1485,47541,6675,N,N,50278,15897,N,N,47384,5667,N,N,56949,6793,N,N,31415,6093,N,N,45889,6221,8403,1229,17398,3493,58.4,6.5,14575,3754,55.5,6.5,13953,3785,2.9,2.4,78484,69268,41.6,6.5,29949,8092,36.5,6.9,33409,13212,5.1,4.1,28517,2902,23.9,(X),(X),(X),21.3,(X),(X),(X),29.5,(X),(X),(X)
0500000US01049,01049,"DeKalb County, Alabama",22754,1532,40876,7020,93.3,1.7,41845,7043,N,N,N,N,N,N,97605,60860,N,N,-,**,N,N,-,**,N,N,-,**,N,N,26988,11373,N,N,37399,15576,87.2,3.1,41492,6632,1.6,0.9,31826,8003,27.6,4.2,46337,4788,43.3,4.3,47216,7919,27.5,2.8,26077,2703,16208,1551,48241,3270,N,N,47004,10772,N,N,48403,3510,N,N,52382,4909,N,N,38009,19347,N,N,45488,21694,6546,1106,18536,3117,58.4,8.1,14969,3490,53.6,9.1,14203,3673,4.8,4.1,24699,14530,41.6,8.1,24583,7894,38.6,8.4,25503,12519,2.9,2.6,23069,7532,22.5,(X),(X),(X),21.7,(X),(X),(X),23.9,(X),(X),(X)
0500000US01051,01051,"Elmore County, Alabama",28292,1265,50699,6535,80.6,2.9,56513,3773,18.1,2.9,31511,3072,N,N,-,**,N,N,-,**,N,N,-,**,N,N,-,**,N,N,-,**,N,N,73106,45127,78.0,3.1,56312,3593,2.3,1.6,22044,14735,34.8,3.9,47045,7813,38.9,3.4,58620,6577,24.0,2.2,38187,8777,19815,1956,61597,6101,N,N,52170,16092,N,N,67125,12670,N,N,72598,4915,N,N,30276,11679,N,N,35223,19847,8477,1603,30345,6920,64.0,7.6,22182,10949,61.4,7.8,21382,8520,2.6,2.4,56538,14698,36.0,7.6,37863,11105,29.9,7.4,36948,28268,6.1,4.4,38273,4801,30.0,(X),(X),(X),30.9,(X),(X),(X),27.9,(X),(X),(X)
0500000US01055,01055,"Etowah County, Alabama",40135,1398,39459,4190,81.4,1.9,43543,3901,16.7,1.6,23458,4223,N,N,N,N,N,N,N,N,N,N,-,**,N,N,-,**,N,N,53910,16020,N,N,49791,12473,80.1,2.0,43005,4332,2.8,1.4,12969,7095,29.7,2.3,46871,5881,40.2,2.4,51840,5105,27.3,1.8,27068,1828,28084,1434,49858,3041,N,N,47022,4529,N,N,52957,6483,N,N,60491,4270,N,N,23496,2651,N,N,28734,13348,12051,1332,19685,2405,50.4,5.5,17691,2625,46.2,6.5,17026,2134,4.2,2.6,44583,83736,49.6,5.5,20833,1701,42.2,5.5,19748,3070,7.4,4.0,30842,16525,34.9,(X),(X),(X),35.1,(X),(X),(X),33.4,(X),(X),(X)
0500000US01069,01069,"Houston County, Alabama",40448,776,39006,2192,72.2,1.2,45988,2579,24.4,1.1,24275,2047,N,N,34828,3455,N,N,80798,25665,N,N,-,**,N,N,28217,12211,N,N,25161,13575,N,N,29065,4165,71.0,1.2,45983,2533,3.6,0.8,22155,3579,32.5,1.6,41046,3652,37.8,1.2,46812,5322,26.1,1.1,31797,2894,26300,1002,50032,2458,40.8,2.1,44273,4920,59.2,2.1,53001,3111,68.4,2.1,64383,3606,25.3,1.9,27480,5661,6.3,1.1,30521,8345,14148,813,22328,2443,55.6,2.8,19041,1381,49.7,3.1,17729,1336,5.9,2.2,39745,7379,44.4,2.8,28434,3872,39.4,3.0,27008,3371,5.0,1.7,35897,16000,32.0,(X),(X),(X),31.4,(X),(X),(X),31.9,(X),(X),(X)
0500000US01073,01073,"Jefferson County, Alabama",257398,4051,45013,1634,55.2,0.9,58217,3047,41.1,0.9,31668,1502,N,N,35564,4019,1.1,0.2,71759,18548,N,N,-,**,N,N,32465,15953,N,N,64549,31810,2.6,0.4,32565,7219,53.7,0.9,59278,2935,3.7,0.5,15580,1940,33.2,1.0,50329,2917,40.0,0.8,52823,3050,23.0,0.7,34690,2519,161960,4566,59172,2521,42.4,1.7,54775,4422,57.6,1.7,60814,2188,63.2,1.5,80143,4635,30.2,1.5,29594,2538,6.6,0.8,42381,10567,95438,4223,27153,1706,55.0,2.0,24459,2480,49.3,2.1,23452,2757,5.7,1.3,38599,13083,45.0,2.0,31897,2484,37.9,2.2,30128,3865,7.1,1.4,46619,7978,34.0,(X),(X),(X),35.8,(X),(X),(X),29.8,(X),(X),(X)
0500000US01077,01077,"Lauderdale County, Alabama",39433,1143,43891,1975,89.1,1.4,44773,2845,N,N,32228,12595,N,N,-,**,N,N,N,N,N,N,-,**,N,N,-,**,N,N,N,N,N,N,51775,15084,87.9,1.6,44610,2609,6.4,1.8,14221,4646,29.1,2.5,45062,7107,37.7,2.3,58994,7924,26.7,1.7,33449,3142,25752,1506,55391,7524,N,N,51237,8919,N,N,57841,7575,N,N,62459,4604,N,N,27865,11880,N,N,27489,14203,13681,1397,22937,4034,58.0,5.1,19939,3354,53.3,5.7,19823,2922,4.7,2.3,23432,31271,42.0,5.1,32204,10649,34.9,5.3,33231,10421,7.1,3.4,21973,20892,39.3,(X),(X),(X),40.6,(X),(X),(X),36.9,(X),(X),(X)
