"Job.Title","Position","Employee.Identifier","Fiscal.Year.2016","Fiscal.Year.2017","Total.Biennium","agency"
"ACCOUNT TECHNICIAN II ","CL0212","1BE85BD943","$43,947.34","$41,352.00","$85,299.34","Adjutant General"
"ACCOUNT TECHNICIAN II ","CL0212","9B52F2E4F5","$41,692.00","$43,980.00","$85,672.00","Adjutant General"
"ACCOUNT TECHNICIAN II ","CL0212","F8F57DBE0F","$44,726.00","$47,330.44","$92,056.44","Adjutant General"
"ACCOUNT/BUDGET SPEC III ","CL0223","CAA5257192","$60,144.00","$63,347.96","$123,491.96","Adjutant General"
"ACCOUNT/BUDGET SPEC III ","CL0223","E9DF99C3F3","","$5,673.91","$5,673.91","Adjutant General"
"ACCOUNTING MANAGER I","CL0224","4F0A8AC156","$88,076.00","$93,597.86","$181,673.86","Adjutant General"
"ACCOUNTING MANAGER II ","CL0225","550C68340C","$108,336.00","$112,588.00","$220,924.00","Adjutant General"
"ADMIN ASSISTANT I ","CL0041","32F074FA0A","$33,171.83","$35,460.00","$68,631.83","Adjutant General"
"ADMIN ASSISTANT I ","CL0041","A11293346E","$39,356.00","$41,040.00","$80,396.00","Adjutant General"
"ADMIN ASSISTANT II","CL0042","C2030D1DA2","$43,199.00","$45,168.00","$88,367.00","Adjutant General"
"ADMIN ASSISTANT III ","CL0043","2D72685902","$41,240.62","$42,576.00","$83,816.62","Adjutant General"
"ADMIN ASSISTANT III ","CL0043","B1697117BA","$42,408.00","$44,504.29","$86,912.29","Adjutant General"
"ADMIN OFR I ","CL0911","BDA0E03A22","$40,431.88","$40,932.00","$81,363.88","Adjutant General"
"ADMIN OFR I ","CL0911","BEB784DC2A","$47,486.00","$49,608.00","$97,094.00","Adjutant General"
"ADMIN OFR II","CL0912","141337B593","$44,549.96","$55,253.10","$99,803.06","Adjutant General"
"ADMIN OFR II","CL0912","221F88325C","$53,958.56","$53,880.00","$107,838.56","Adjutant General"
"ADMIN OFR II","CL0912","93E19DCCB6","$55,245.00","$58,020.00","$113,265.00","Adjutant General"
"ADMIN OFR II","CL0912","B67E72091E","$17,057.45","","$17,057.45","Adjutant General"
"ADMIN STAFF OFFICER I ","CL0951","E70FAE0AAC","$48,350.00","$50,364.00","$98,714.00","Adjutant General"
"ADMIN STAFF OFFICER II","CL0952","8D7580A6D1","$57,287.00","$59,940.00","$117,227.00","Adjutant General"
"ADMIN STAFF OFFICER III ","CL0953","7849D4E6DC","$61,289.00","$63,924.00","$125,213.00","Adjutant General"
"ADMIN STAFF OFFICER III ","CL0953","F761442CD5","$56,078.00","$58,224.00","$114,302.00","Adjutant General"
"APPOINTED--NOT CLASSIFIED ","NC9002","4BFF34F6D5","$114,621.80","","$114,621.80","Adjutant General"
"APPOINTED--NOT CLASSIFIED ","NC9002","A0923157B5","$107,115.83","$179,059.30","$286,175.13","Adjutant General"
"ASST MANAGER, ND VETS CEMETERY","CL0908","CE432FCB83","$50,965.00","$53,316.00","$104,281.00","Adjutant General"
"BRD/COMM-NOT CLASSIFIED ","NC9006","0FC823ED2A","$62.50","","$62.50","Adjutant General"
"BRD/COMM-NOT CLASSIFIED ","NC9006","A4D49823CA","$62.50","","$62.50","Adjutant General"
"BUSINESS MANAGER II ","CL0432","51522A06A9","$64,764.00","$67,220.40","$131,984.40","Adjutant General"
"BUSINESS MANAGER II ","CL0432","F4CF0F7FBD","$72,670.00","$76,344.00","$149,014.00","Adjutant General"
"CARPENTER I ","CL8221","AE34AF8DFF","$45,324.00","$46,680.00","$92,004.00","Adjutant General"
"CARPENTER II","CL8222","552F9A3014","$39,036.00","$40,212.00","$79,248.00","Adjutant General"
"CARPENTER II","CL8222","6C4052E4E3","$45,626.00","$47,556.00","$93,182.00","Adjutant General"
"CARPENTER II","CL8222","B80FE125C4","$44,628.00","$45,816.00","$90,444.00","Adjutant General"
"CARPENTER III ","CL8223","68C5669BF8","$51,953.15","$53,772.00","$105,725.15","Adjutant General"
"CARPENTER III ","CL8223","7921F015B5","$43,395.69","$45,270.20","$88,665.89","Adjutant General"
"CARPENTER III ","CL8223","FE7F8BCE60","$46,922.00","$48,900.00","$95,822.00","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","0110EF22EF","$26,102.76","","$26,102.76","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","1F84C874AE","$25,015.52","","$25,015.52","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","20C8871750","$40,486.49","$43,947.89","$84,434.38","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","25DC3C6DC3","","$40,274.57","$40,274.57","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","33BED34C27","$4,337.18","$43,228.19","$47,565.37","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","5FCA7B5240","$41,568.75","$28,834.81","$70,403.56","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","64E5EF54AF","","$38,283.54","$38,283.54","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","6D637BCB3C","","$11,095.58","$11,095.58","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","7A7CB7EC24","$18,105.63","$9,367.59","$27,473.22","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","7BBD5B650E","","$13,290.10","$13,290.10","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","ABC00245A8","","$19,716.41","$19,716.41","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","B31D18E3DE","","$4,389.07","$4,389.07","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","B3B61D1407","","$11,025.91","$11,025.91","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","CD874C85E7","$43,138.56","$3,734.15","$46,872.71","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","CE534523AF","$43,257.71","$14,434.69","$57,692.40","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","D0CBD22B93","$33,764.77","$45,661.72","$79,426.49","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","D900DD6840","$23,662.02","$44,589.97","$68,251.99","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","DA0B78EB09","$33,023.61","","$33,023.61","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","E87B69C72C","","$4,590.84","$4,590.84","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","FEF1BE8B98","","$27,088.32","$27,088.32","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","03B6690364","$54,519.38","$58,813.64","$113,333.02","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","0EA7CB5E1C","$43,714.24","","$43,714.24","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","16B207AE80","$61,803.15","$63,426.39","$125,229.54","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","1F84C874AE","$21,132.56","$51,195.37","$72,327.93","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","44E15A5848","$5,735.81","","$5,735.81","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","52AEF21563","$48,692.53","$12,129.22","$60,821.75","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","5FCA7B5240","","$15,424.23","$15,424.23","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","6628333F3D","$50,054.72","$52,272.98","$102,327.70","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","97B912EE04","$56,137.91","","$56,137.91","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","9AA870B047","$55,117.10","$57,180.38","$112,297.48","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","9B847629EF","","$20,382.55","$20,382.55","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","B8015E764C","$64,101.54","$65,984.38","$130,085.92","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","C10EBB9F95","$19,766.25","","$19,766.25","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","C8F19A720A","$52,044.94","$6,227.63","$58,272.57","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","CD874C85E7","","$43,271.36","$43,271.36","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","CDB8954797","$66,764.97","","$66,764.97","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","DDC1578FB2","$7,406.46","","$7,406.46","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","E96BF19EA5","$52,239.04","$5,603.21","$57,842.25","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","FCD05566E4","$46,584.75","$47,655.27","$94,240.02","Adjutant General"
"COMMUNICATIONS SPEC III ","CL5023","4A04071527","$59,106.49","$3,582.95","$62,689.44","Adjutant General"
"COMMUNICATIONS SPEC III ","CL5023","52AEF21563","","$47,089.48","$47,089.48","Adjutant General"
"COMMUNICATIONS SPEC III ","CL5023","5A35C66C21","$10,812.06","","$10,812.06","Adjutant General"
"COMMUNICATIONS SPEC III ","CL5023","69845A3EA1","$55,715.98","$58,275.03","$113,991.01","Adjutant General"
"COMMUNICATIONS SPEC III ","CL5023","960AC4D770","$70,562.45","$74,322.87","$144,885.32","Adjutant General"
"COMMUNICATIONS SPEC III ","CL5023","DDC1578FB2","$37,488.52","$55,633.90","$93,122.42","Adjutant General"
"COMMUNICATIONS SUPERVISOR ","CL5024","4A04071527","","$66,320.36","$66,320.36","Adjutant General"
"COMMUNICATIONS SUPERVISOR ","CL5024","8F2C83EA2E","$85,093.28","","$85,093.28","Adjutant General"
"COMMUNICATIONS SUPERVISOR ","CL5024","A1BBC5EC4D","$69,023.28","$70,931.97","$139,955.25","Adjutant General"
"COMMUNICATIONS SUPERVISOR ","CL5024","B90B3519F2","$88,412.78","$92,180.91","$180,593.69","Adjutant General"
"COMMUNICATIONS SUPERVISOR ","CL5024","C72AE7E8AF","$71,295.70","$73,884.00","$145,179.70","Adjutant General"
"COMPUTER & NETWK SPEC II","CL0174","B097A05A3A","$40,672.41","$64,052.19","$104,724.60","Adjutant General"
"COMPUTER & NETWK SPEC III ","CL0175","3A87588D17","$61,451.66","$66,813.75","$128,265.41","Adjutant General"
"COMPUTER & NETWK SPEC III ","CL0175","CF64F5069C","$61,313.84","$65,759.23","$127,073.07","Adjutant General"
"CONST COORD-NAT'L GUARD ","CL2400","4E8E067AEA","$66,919.01","$68,160.00","$135,079.01","Adjutant General"
"CUSTODIAL SUPERVISOR II ","CL7015","0CAFC2DC11","$38,398.00","$39,912.00","$78,310.00","Adjutant General"
"CUSTODIAL SUPERVISOR II ","CL7015","20440931B3","$37,550.00","$39,240.00","$76,790.00","Adjutant General"
"CUSTODIAL SUPERVISOR II ","CL7015","420A106584","$36,648.00","$37,920.00","$74,568.00","Adjutant General"
"CUSTODIAL SUPERVISOR II ","CL7015","539C2A0250","$37,766.00","$39,468.00","$77,234.00","Adjutant General"
"CUSTODIAL SUPERVISOR II ","CL7015","6D5EF3511C","$28,158.09","$36,094.00","$64,252.09","Adjutant General"
"CUSTODIAL SUPERVISOR II ","CL7015","8030E31FE0","$36,336.00","$37,428.00","$73,764.00","Adjutant General"
"CUSTODIAL SUPERVISOR II ","CL7015","83AD30CB07","$22,228.87","","$22,228.87","Adjutant General"
