"Job.Title","Position","Employee.Identifier","Fiscal.Year.2018","Total.Biennium","agency"
"ACCOUNT TECHNICIAN II ","CL0212","1BE85BD943","$20,676.00","$20,676.00","Adjutant General"
"ACCOUNT TECHNICIAN II ","CL0212","9B52F2E4F5","$21,990.00","$21,990.00","Adjutant General"
"ACCOUNT TECHNICIAN II ","CL0212","F8F57DBE0F","$23,316.00","$23,316.00","Adjutant General"
"ACCOUNT/BUDGET SPEC III ","CL0223","E9DF99C3F3","$27,000.00","$27,000.00","Adjutant General"
"ACCOUNTING MANAGER I","CL0224","4F0A8AC156","$46,464.00","$46,464.00","Adjutant General"
"ACCOUNTING MANAGER II ","CL0225","550C68340C","$55,794.00","$55,794.00","Adjutant General"
"ADMIN ASSISTANT I ","CL0041","32F074FA0A","$17,730.00","$17,730.00","Adjutant General"
"ADMIN ASSISTANT I ","CL0041","A11293346E","$20,520.00","$20,520.00","Adjutant General"
"ADMIN ASSISTANT II","CL0042","C2030D1DA2","$22,584.00","$22,584.00","Adjutant General"
"ADMIN ASSISTANT III ","CL0043","2D72685902","$21,288.00","$21,288.00","Adjutant General"
"ADMIN ASSISTANT III ","CL0043","B1697117BA","$21,846.00","$21,846.00","Adjutant General"
"ADMIN OFR I ","CL0911","BDA0E03A22","$20,466.00","$20,466.00","Adjutant General"
"ADMIN OFR I ","CL0911","BEB784DC2A","$24,804.00","$24,804.00","Adjutant General"
"ADMIN OFR II","CL0912","141337B593","$28,010.61","$28,010.61","Adjutant General"
"ADMIN OFR II","CL0912","221F88325C","$26,940.00","$26,940.00","Adjutant General"
"ADMIN OFR II","CL0912","93E19DCCB6","$29,010.00","$29,010.00","Adjutant General"
"ADMIN STAFF OFFICER I ","CL0951","E70FAE0AAC","$25,182.00","$25,182.00","Adjutant General"
"ADMIN STAFF OFFICER II","CL0952","8D7580A6D1","$29,970.00","$29,970.00","Adjutant General"
"ADMIN STAFF OFFICER III ","CL0953","7849D4E6DC","$32,054.20","$32,054.20","Adjutant General"
"ADMIN STAFF OFFICER III ","CL0953","F761442CD5","$29,349.93","$29,349.93","Adjutant General"
"APPOINTED--NOT CLASSIFIED ","NC9002","A0923157B5","$83,714.96","$83,714.96","Adjutant General"
"ASST MANAGER, ND VETS CEMETERY","CL0908","CE432FCB83","$26,658.00","$26,658.00","Adjutant General"
"BUSINESS MANAGER II ","CL0432","51522A06A9","$33,360.00","$33,360.00","Adjutant General"
"BUSINESS MANAGER II ","CL0432","F4CF0F7FBD","$38,172.00","$38,172.00","Adjutant General"
